2026-01-13 19:47:00.794 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 19:47:00.796 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 19:47:00.796 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 19:47:00.796 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 20:01:56.000 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 20:01:56.001 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 20:01:56.001 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 20:01:56.001 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 20:03:24.706 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 20:03:24.708 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 20:03:24.708 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 20:03:24.708 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 20:08:38.394 | INFO     | __main__:<module>:1041 - 
正在关闭应用...
2026-01-13 20:08:38.485 | INFO     | __main__:stop_forum_engine:335 - ForumEngine: 停止论坛...
2026-01-13 20:08:38.539 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-13 20:08:38.553 | INFO     | ForumEngine.monitor:stop_monitoring:740 - ForumEngine: 论坛已停止
2026-01-13 20:08:38.553 | INFO     | __main__:stop_forum_engine:337 - ForumEngine: 论坛已停止
2026-01-13 20:08:38.554 | INFO     | __main__:stop_forum_engine:335 - ForumEngine: 停止论坛...
2026-01-13 20:08:38.554 | INFO     | ForumEngine.monitor:stop_monitoring:727 - ForumEngine: 论坛未运行
2026-01-13 20:08:38.554 | INFO     | __main__:stop_forum_engine:337 - ForumEngine: 论坛已停止
2026-01-13 20:09:23.005 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 20:09:23.005 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 20:09:23.005 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 20:09:23.006 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 20:11:11.844 | INFO     | __main__:<module>:1041 - 
正在关闭应用...
2026-01-13 20:11:11.935 | INFO     | __main__:stop_forum_engine:335 - ForumEngine: 停止论坛...
2026-01-13 20:11:12.785 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-13 20:11:12.801 | INFO     | ForumEngine.monitor:stop_monitoring:740 - ForumEngine: 论坛已停止
2026-01-13 20:11:12.801 | INFO     | __main__:stop_forum_engine:337 - ForumEngine: 论坛已停止
2026-01-13 20:11:12.801 | INFO     | __main__:stop_forum_engine:335 - ForumEngine: 停止论坛...
2026-01-13 20:11:12.802 | INFO     | ForumEngine.monitor:stop_monitoring:727 - ForumEngine: 论坛未运行
2026-01-13 20:11:12.802 | INFO     | __main__:stop_forum_engine:337 - ForumEngine: 论坛已停止
2026-01-13 20:13:42.741 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 20:13:42.741 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 20:13:42.743 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 20:13:42.743 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 20:18:22.738 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 20:18:22.740 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 20:18:22.740 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 20:18:22.740 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 20:28:27.846 | INFO     | __main__:<module>:1041 - 
正在关闭应用...
2026-01-13 20:28:27.942 | INFO     | __main__:stop_forum_engine:335 - ForumEngine: 停止论坛...
2026-01-13 20:28:28.043 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-13 20:28:28.057 | INFO     | ForumEngine.monitor:stop_monitoring:740 - ForumEngine: 论坛已停止
2026-01-13 20:28:28.059 | INFO     | __main__:stop_forum_engine:337 - ForumEngine: 论坛已停止
2026-01-13 20:28:28.059 | INFO     | __main__:stop_forum_engine:335 - ForumEngine: 停止论坛...
2026-01-13 20:28:28.059 | INFO     | ForumEngine.monitor:stop_monitoring:727 - ForumEngine: 论坛未运行
2026-01-13 20:28:28.060 | INFO     | __main__:stop_forum_engine:337 - ForumEngine: 论坛已停止
2026-01-13 20:32:27.756 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 20:32:27.758 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 20:32:27.758 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 20:32:27.758 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 20:36:10.879 | INFO     | __main__:stop_forum_engine:350 - ForumEngine: 停止论坛...
2026-01-13 20:36:11.733 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-13 20:36:11.734 | INFO     | ForumEngine.monitor:stop_monitoring:740 - ForumEngine: 论坛已停止
2026-01-13 20:36:11.734 | INFO     | __main__:stop_forum_engine:352 - ForumEngine: 论坛已停止
2026-01-13 20:37:08.186 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 20:37:08.188 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
